submitted,name_matched,accepted_name,accepted_species,accepted_family,overall_score
Albuca fastigiata,Albuca fastigiata,Albuca fastigiata,Albuca fastigiata,Asparagaceae,1
Albuca humilis,Albuca humilis,Albuca humilis,Albuca humilis,Asparagaceae,1
Alchemilla,Alchemilla,Alchemilla,,Rosaceae,1
Alepidea setifera,Alepidea setifera,Alepidea setifera,Alepidea setifera,Apiaceae,1
Alepidea thodei,Alepidea thodei,Alepidea thodei,Alepidea thodei,Apiaceae,1
Aletris pauciflora,Aletris pauciflora,Aletris pauciflora,Aletris pauciflora,Nartheciaceae,1
Allium prattii,Allium prattii,Allium prattii,Allium prattii,Amaryllidaceae,1
Allium sikkimense,Allium sikkimense,Allium sikkimense,Allium sikkimense,Amaryllidaceae,1
Alopecurus ovatus,Alopecurus ovatus,Alopecurus magellanicus,Alopecurus magellanicus,Poaceae,1
Anaphalis flavescens,Anaphalis flavescens,Anaphalis flavescens,Anaphalis flavescens,Asteraceae,1
Anatherostipa hans-meyeri,Anatherostipa hans-meyeri,Stipa hans-meyeri,Stipa hans-meyeri,Poaceae,1
Androsace minor,Androsace minor,Androsace minor,Androsace minor,Primulaceae,1
Androsace septentrionalis,Androsace septentrionalis,Androsace septentrionalis,Androsace septentrionalis,Primulaceae,1
Anemone demissa,Anemone demissa,Anemonastrum demissum,Anemonastrum demissum,Ranunculaceae,1
Anemone rivularis,Anemone rivularis,Eriocapitella rivularis,Eriocapitella rivularis,Ranunculaceae,1
Antennaria,Antennaria,Antennaria,,Asteraceae,1
Antennaria linearifolia,Antennaria linearifolia,Quasiantennaria linearifolia,Quasiantennaria linearifolia,,1
Anthospermum herbaceum,Anthospermum herbaceum,Anthospermum herbaceum,Anthospermum herbaceum,Rubiaceae,1
Anthospermum hispidulum,Anthospermum hispidulum,Anthospermum hispidulum,Anthospermum hispidulum,Rubiaceae,1
Anthospermum streyi,Anthospermum streyi,Anthospermum streyi,Anthospermum streyi,Rubiaceae,1
Anthoxanthum alpinum,Anthoxanthum alpinum,Anthoxanthum nipponicum,Anthoxanthum nipponicum,Poaceae,1
Anthoxanthum ecklonii,Anthoxanthum ecklonii,Anthoxanthum ecklonii,Anthoxanthum ecklonii,Poaceae,1
Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum,Poaceae,1
Aphanactis villosa,Aphanactis villosa,Aphanactis villosa,Aphanactis villosa,Asteraceae,1
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Ericaceae,1
Arenaria congesta,Arenaria congesta,Eremogone congesta,Eremogone congesta,Caryophyllaceae,1
Argyrolobium,Argyrolobium,Argyrolobium,,Fabaceae,1
Arisaema parvum,Arisaema parvum,Arisaema parvum,Arisaema parvum,Araceae,1
Aristea woodii,Aristea woodii,Aristea torulosa,Aristea torulosa,Iridaceae,1
Arnica,Arnica,Arnica,,Asteraceae,1
Artemisia cana,Artemisia cana,Artemisia cana,Artemisia cana,Asteraceae,1
Artemisia flaccida,Artemisia flaccida,Artemisia flaccida,Artemisia flaccida,Asteraceae,1
Artemisia tridentata,Artemisia tridentata,Artemisia tridentata,Artemisia tridentata,Asteraceae,1
Asclepias humilis,Asclepias humilis,Asclepias humilis,Asclepias humilis,Apocynaceae,1
Aspidonepsis reenensis,Aspidonepsis reenensis,Aspidonepsis reenensis,Aspidonepsis reenensis,Apocynaceae,1
Aster asteroides,Aster asteroides,Aster asteroides,Aster asteroides,Asteraceae,1
Aster perfoliatus,Aster perfoliatus,Afroaster perfoliatus,Afroaster perfoliatus,Asteraceae,1
Asteraceae,Asteraceae,Asteraceae,,,1
Athrixia,Athrixia,Athrixia,,Asteraceae,1
Athrixia fontana,Athrixia fontana,Athrixia fontana,Athrixia fontana,Asteraceae,1
Athyrium subtriangulare,Athyrium subtriangulare,Athyrium spinulosum,Athyrium spinulosum,Aspleniaceae,1
Avenella flexuosa,Avenella flexuosa,Avenella flexuosa,Avenella flexuosa,Poaceae,1
Azorella biloba,Azorella biloba,Azorella biloba,Azorella biloba,Apiaceae,1
Baccharis caespitosa,Baccharis caespitosa,Baccharis caespitosa,Baccharis caespitosa,Asteraceae,1
Baccharis genistelloides,Baccharis genistelloides,Baccharis genistelloides,Baccharis genistelloides,Asteraceae,1
Baccharis tricuneata,Baccharis tricuneata,Baccharis tricuneata,Baccharis tricuneata,Asteraceae,1
Balsamorhiza sagittata,Balsamorhiza sagittata,Balsamorhiza sagittata,Balsamorhiza sagittata,Asteraceae,1
Bartsia trichophylla,Bartsia trichophylla,Neobartsia trichophylla,Neobartsia trichophylla,Orobanchaceae,1
Belonanthus hispidus,Belonanthus hispidus,Valeriana niphobia,Valeriana niphobia,Caprifoliaceae,1
Berkheya rhapontica,Berkheya rhapontica,Berkheya rhapontica,Berkheya rhapontica,Asteraceae,1
Berkheya rosulata,Berkheya rosulata,Berkheya rosulata,Berkheya rosulata,Asteraceae,1
Bidens triplinervia,Bidens triplinervia,Bidens triplinervia,Bidens triplinervia,Asteraceae,1
Bistorta bistortoides,Bistorta bistortoides,Bistorta bistortoides,Bistorta bistortoides,Polygonaceae,1
Bistorta vivipara,Bistorta vivipara,Bistorta vivipara,Bistorta vivipara,Polygonaceae,1
Bochera,Boechera,Boechera,,Brassicaceae,0.94341268848788
Bomarea brevis,Bomarea brevis,Bomarea brevis,Bomarea brevis,Alstroemeriaceae,1
Brachyotum grisebachii,Brachyotum grisebachii,Brachyotum grisebachii,Brachyotum grisebachii,Melastomataceae,1
Bromopsis,Bromopsis,Bromus,,Poaceae,1
Bromus,Bromus,Bromus,,Poaceae,1
Bromus carinatus,Bromus carinatus,Bromus carinatus,Bromus carinatus,Poaceae,1
Bromus ciliatus,Bromus ciliatus,Bromus ciliatus,Bromus ciliatus,Poaceae,1
Bromus inermis,Bromus inermis,Bromus inermis,Bromus inermis,Poaceae,1
Bromus lanatus,Bromus lanatus,Bromus lanatus,Bromus lanatus,Poaceae,1
Brunsvigia radulosa,Brunsvigia radulosa,Brunsvigia radulosa,Brunsvigia radulosa,Amaryllidaceae,1
Bulbostylis humilis,Bulbostylis humilis,Bulbostylis humilis,Bulbostylis humilis,Cyperaceae,1
Bulbostylis oritrephes,Bulbostylis oritrephes,Bulbostylis oritrephes,Bulbostylis oritrephes,Cyperaceae,1
Bupleurum mundii,Bupleurum mundii,Bupleurum mundii,Bupleurum mundii,Apiaceae,1
Calamagrostis amoena,Calamagrostis amoena,Cinnagrostis filifolia var. filifolia,Cinnagrostis filifolia,Poaceae,1
Calamagrostis neglecta,Calamagrostis neglecta,Achnatherum calamagrostis,Achnatherum calamagrostis,Poaceae,1
Calamagrostis rigida,Calamagrostis rigida,Cinnagrostis rigida,Cinnagrostis rigida,Poaceae,1
Calamagrostis tarmensis,Calamagrostis tarmensis,Cinnagrostis tarmensis,Cinnagrostis tarmensis,Poaceae,1
Caltha palustris,Caltha palustris,Caltha palustris,Caltha palustris,Ranunculaceae,1
Campanula rotundifolia,Campanula rotundifolia,Campanula rotundifolia,Campanula rotundifolia,Campanulaceae,1
Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,Brassicaceae,1
Cardamine bellidifolia,Cardamine bellidifolia,Cardamine bellidifolia,Cardamine bellidifolia,Brassicaceae,1
Carex,Carex,Carex,,Cyperaceae,1
Carex albonigra,Carex albonigra,Carex albonigra,Carex albonigra,Cyperaceae,1
Carex atrata,Carex atrata,Carex atrata,Carex atrata,Cyperaceae,1
Carex bigelowii,Carex bigelowii,Carex bigelowii,Carex bigelowii,Cyperaceae,1
Carex boliviensis,Carex boliviensis,Carex boliviensis,Carex boliviensis,Cyperaceae,1
Carex bonplandii,Carex bonplandii,Carex bonplandii,Carex bonplandii,Cyperaceae,1
Carex capillaris,Carex capillaris,Carex capillaris,Carex capillaris,Cyperaceae,1
Carex crinalis,Carex crinalis,Carex crinalis,Carex crinalis,Cyperaceae,1
Carex leporina,Carex leporina,Carex leporina,Carex leporina,Cyperaceae,1
Carex nubigena,Carex nubigena,Carex nubigena,Carex nubigena,Cyperaceae,1
Carex pichinchensis,Carex pichinchensis,Carex pichinchensis,Carex pichinchensis,Cyperaceae,1
Carex pilulifera,Carex pilulifera,Carex pilulifera,Carex pilulifera,Cyperaceae,1
Carex pygmaea,Carex pygmaea,Carex pygmaea,Carex pygmaea,Cyperaceae,1
Carex vaginata,Carex vaginata,Carex vaginata,Carex vaginata,Cyperaceae,1
Carex zuluensis,Carex zuluensis,Carex steudneri,Carex steudneri,Cyperaceae,1
Carpesium humile,Carpesium humile,Carpesium humile,Carpesium humile,Asteraceae,1
Cassiope tetragona,Cassiope tetragona,Cassiope tetragona,Cassiope tetragona,Ericaceae,1
Castilleja chromosa,Castilleja chromosa,Castilleja chromosa,Castilleja chromosa,Orobanchaceae,1
Castilleja sulphurea,Castilleja sulphurea,Castilleja septentrionalis,Castilleja septentrionalis,Orobanchaceae,1
Cerastium arabidis,Cerastium arabidis,Cerastium arabidis,Cerastium arabidis,Caryophyllaceae,1
Cerastium arcticum,Cerastium arcticum,Cerastium arcticum,Cerastium arcticum,Caryophyllaceae,1
Cerastium arvense,Cerastium arvense,Cerastium arvense,Cerastium arvense,Caryophyllaceae,1
Cerastium cerastoides,Cerastium cerastoides,Cerastium cerastoides,Cerastium cerastoides,Caryophyllaceae,1
Cerastium szechuense,Cerastium szechuense,Cerastium szechuense,Cerastium szechuense,Caryophyllaceae,1
Chamaesium viridiflorum,Chamaesium viridiflorum,Chamaesium viridiflorum,Chamaesium viridiflorum,Apiaceae,1
Chamerion angustifolium,Chamerion angustifolium,Epilobium angustifolium,Epilobium angustifolium,Onagraceae,1
Chaptalia cordata,Chaptalia cordata,Chaptalia cordata,Chaptalia cordata,Asteraceae,1
Cheilanthes eckloniana,Cheilanthes eckloniana,Hemionitis eckloniana,Hemionitis eckloniana,Pteridaceae,1
Chenopodium atrovirens,Chenopodium atrovirens,Chenopodium atrovirens,Chenopodium atrovirens,Amaranthaceae,1
Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,Asteraceae,1
Chusquea intipaqariy,Chusquea intipaqariy,Chusquea intipaqariy,Chusquea intipaqariy,Poaceae,1
Cineraria,Cineraria,Cineraria,,Asteraceae,1
Cirsium,Cirsium,Cirsium,,Asteraceae,1
Clinopodium polycephalum,Clinopodium polycephalum,Clinopodium polycephalum,Clinopodium polycephalum,Lamiaceae,1
Collomia linearis,Collomia linearis,Collomia linearis,Collomia linearis,Polemoniaceae,1
Commelina africana,Commelina africana,Commelina africana,Commelina africana,Commelinaceae,1
Cortaderia bifida,Cortaderia bifida,Cortaderia bifida,Cortaderia bifida,Poaceae,1
Cortaderia hapalotricha,Cortaderia hapalotricha,Cortaderia hapalotricha,Cortaderia hapalotricha,Poaceae,1
Corydalis caseana,Corydalis caseana,Corydalis caseana,Corydalis caseana,Papaveraceae,1
Cotula hispida,Cotula hispida,Cotula hispida,Cotula hispida,Asteraceae,1
Crassula lanceolata,Crassula lanceolata,Crassula schimperi var. illecebroides,Crassula schimperi,Crassulaceae,1
Crassula vaginata,Crassula vaginata,Crassula vaginata,Crassula vaginata,Crassulaceae,1
Craterocapsa tarsodes,Craterocapsa tarsodes,Craterocapsa tarsodes,Craterocapsa tarsodes,Campanulaceae,1
Crepis occidentalis,Crepis occidentalis,Crepis occidentalis,Crepis occidentalis,Asteraceae,1
Cyananthus incanus,Cyananthus incanus,Cyananthus incanus,Cyananthus incanus,Campanulaceae,1
Cymbopogon caesius,Cymbopogon caesius,Cymbopogon caesius,Cymbopogon caesius,Poaceae,1
Cynoglossum hispidum,Cynoglossum hispidum,Cynoglossum hispidum,Cynoglossum hispidum,Boraginaceae,1
Cyperus,Cyperus,Cyperus,,Cyperaceae,1
Cyperus semitrifidus,Cyperus semitrifidus,Cyperus semitrifidus,Cyperus semitrifidus,Cyperaceae,1
Cyperus sphaerocephalus,Cyperus sphaerocephalus,Cyperus sphaerocephalus,Cyperus sphaerocephalus,Cyperaceae,1
Cyrtochilum aureum,Cyrtochilum aureum,Cyrtochilum aureum,Cyrtochilum aureum,Orchidaceae,1
Danthonia secundiflora,Danthonia secundiflora,Danthonia secundiflora,Danthonia secundiflora,Poaceae,1
Delphinium barbeyi,Delphinium barbeyi,Delphinium barbeyi,Delphinium barbeyi,Ranunculaceae,1
Delphinium nelsoni,Delphinium nelsonii,Delphinium nuttallianum,Delphinium nuttallianum,Ranunculaceae,0.97922049354994
Deschampsia alpina,Deschampsia alpina,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa,Poaceae,1
Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa,Poaceae,1
Descurainia californica,Descurainia californica,Descurainia californica,Descurainia californica,Brassicaceae,1
Diheteropogon filifolius,Diheteropogon filifolius,Diheteropogon filifolius,Diheteropogon filifolius,Poaceae,1
Dimorphotheca jucunda,Dimorphotheca jucunda,Dimorphotheca jucunda,Dimorphotheca jucunda,Asteraceae,1
Disa stachyoides,Disa stachyoides,Disa stachyoides,Disa stachyoides,Orchidaceae,1
Draba alpina,Draba alpina,Draba alpina,Draba alpina,Brassicaceae,1
Draba aurea,Draba aurea,Draba aurea,Draba aurea,Brassicaceae,1
Draba glabella,Draba glabella,Draba glabella,Draba glabella,Brassicaceae,1
Draba lactea,Draba lactea,Draba lactea,Draba lactea,Brassicaceae,1
Draba nivalis,Draba nivalis,Draba nivalis,Draba nivalis,Brassicaceae,1
Draba norvegica,Draba norvegica,Draba norvegica,Draba norvegica,Brassicaceae,1
Drimia sphaerocephala,Drimia sphaerocephala,Drimia sphaerocephala,Drimia sphaerocephala,Asparagaceae,1
Dryas octopetala,Dryas octopetala,Dryas octopetala,Dryas octopetala,Rosaceae,1
Ehrharta longigluma,Ehrharta longigluma,Ehrharta longigluma,Ehrharta longigluma,Poaceae,1
Elaphoglossum amphioxys,Elaphoglossum amphioxys,Elaphoglossum amphioxys,Elaphoglossum amphioxys,Dryopteridaceae,1
Elaphoglossum engelii,Elaphoglossum engelii,Elaphoglossum engelii,Elaphoglossum engelii,Dryopteridaceae,1
Elaphoglossum huacsaro,Elaphoglossum huacsaro,Elaphoglossum huacsaro,Elaphoglossum huacsaro,Dryopteridaceae,1
Elionurus muticus,Elionurus muticus,Elionurus muticus,Elionurus muticus,Poaceae,1
Elymus glaucus,Elymus glaucus,Elymus glaucus,Elymus glaucus,Poaceae,1
Elymus triticoides,Elymus triticoides,Leymus triticoides,Leymus triticoides,Poaceae,1
Empetrum nigrum,Empetrum nigrum,Empetrum nigrum,Empetrum nigrum,Ericaceae,1
Epilobium,Epilobium,Epilobium,,Onagraceae,1
Epilobium fangii,Epilobium fangii,Epilobium fangii,Epilobium fangii,Onagraceae,1
Epilobium lactiflorum,Epilobium lactiflorum,Epilobium lactiflorum,Epilobium lactiflorum,Onagraceae,1
Equisetum laerigatum,Equisetum laevigatum,Equisetum laevigatum,Equisetum laevigatum,Equisetaceae,0.98428510306992
Equisetum scirpoides,Equisetum scirpoides,Equisetum scirpoides,Equisetum scirpoides,Equisetaceae,1
Equisetum variegatum,Equisetum variegatum,Equisetum variegatum,Equisetum variegatum,Equisetaceae,1
Eragrostis capensis,Eragrostis capensis,Eragrostis capensis,Eragrostis capensis,Poaceae,1
Eragrostis racemosa,Eragrostis racemosa,Eragrostis racemosa,Eragrostis racemosa,Poaceae,1
Erica,Erica,Erica,,Ericaceae,1
Erica thodei,Erica thodei,Erica thodei,Erica thodei,Ericaceae,1
Erica woodii,Erica woodii,Erica woodii,Erica woodii,Ericaceae,1
Erigeron,Erigeron,Erigeron,,Asteraceae,1
Erigeron eatoni,Erigeron eatonii,Erigeron eatonii,Erigeron eatonii,Asteraceae,0.9752518865735
Erigeron elatior,Erigeron elatior,Erigeron elatior,Erigeron elatior,Asteraceae,1
Erigeron speciosus,Erigeron speciosus,Erigeron speciosus,Erigeron speciosus,Asteraceae,1
Erigeron uniflorus,Erigeron uniflorus,Erigeron uniflorus,Erigeron uniflorus,Asteraceae,1
Eriogonum umbellatum,Eriogonum umbellatum,Eriogonum umbellatum,Eriogonum umbellatum,Polygonaceae,1
Eriosorus cheilanthoides,Eriosorus cheilanthoides,Jamesonia cheilanthoides,Jamesonia cheilanthoides,Pteridaceae,1
Erythronium grandiflorum,Erythronium grandiflorum,Erythronium grandiflorum,Erythronium grandiflorum,Liliaceae,1
Escallonia resinosa,Escallonia resinosa,Escallonia resinosa,Escallonia resinosa,Escalloniaceae,1
Eucomis,Eucomis,Eucomis,,Asparagaceae,1
Eucomis autumnalis,Eucomis autumnalis,Eucomis autumnalis,Eucomis autumnalis,Asparagaceae,1
Eucomis humilis,Eucomis humilis,Eucomis humilis,Eucomis humilis,Asparagaceae,1
Eulalia villosa,Eulalia villosa,Eulalia villosa,Eulalia villosa,Poaceae,1
Euphorbia huanchahana,Euphorbia huanchahana,Euphorbia huanchahana,Euphorbia huanchahana,Euphorbiaceae,1
Euphorbia stricta,Euphorbia stricta,Euphorbia stricta,Euphorbia stricta,Euphorbiaceae,1
Euphrasia stricta,Euphrasia stricta,Euphrasia stricta,Euphrasia stricta,Orobanchaceae,1
Euphrasia wettsteinii,Euphrasia wettsteinii,Euphrasia wettsteinii,Euphrasia wettsteinii,Orobanchaceae,1
Fabaceae,Fabaceae,Fabaceae,,,1
Fargesia,Fargesia,Fargesia,,Poaceae,1
Fargesia spathacea,Fargesia spathacea,Fargesia spathacea,Fargesia spathacea,Poaceae,1
Felicia muricata,Felicia muricata,Felicia muricata,Felicia muricata,Asteraceae,1
Festuca,Festuca,Festuca,,Poaceae,1
Festuca costata,Festuca costata,Festuca costata,Festuca costata,Poaceae,1
Festuca dolichophylla,Festuca dolichophylla,Festuca dolichophylla,Festuca dolichophylla,Poaceae,1
Festuca ovina,Festuca ovina,Festuca ovina,Festuca ovina,Poaceae,1
Festuca procera,Festuca procera,Festuca procera,Festuca procera,Poaceae,1
Festuca rubra,Festuca rubra,Festuca rubra,Festuca rubra,Poaceae,1
Festuca viviparoidea,Festuca viviparoidea,Festuca viviparoidea,Festuca viviparoidea,Poaceae,1
Ficinia cinnamomea,Ficinia cinnamomea,Ficinia cinnamomea,Ficinia cinnamomea,Cyperaceae,1
Fragaria orientalis,Fragaria orientalis,Fragaria orientalis,Fragaria orientalis,Rosaceae,1
Fragaria virginiana,Fragaria virginiana,Fragaria virginiana,Fragaria virginiana,Rosaceae,1
Frasera speciosa,Frasera speciosa,Frasera speciosa,Frasera speciosa,Gentianaceae,1
Galearis spathulata,Galearis spathulata,Galearis spathulata,Galearis spathulata,Orchidaceae,1
Galium,Galium,Galium,,Rubiaceae,1
Galium boreale,Galium boreale,Galium boreale,Galium boreale,Rubiaceae,1
Galium corymbosum,Galium corymbosum,Galium corymbosum,Galium corymbosum,Rubiaceae,1
Galium uliginosum,Galium uliginosum,Galium uliginosum,Galium uliginosum,Rubiaceae,1
Galium verum,Galium verum,Galium verum,Galium verum,Rubiaceae,1
Gamochaeta coarctata,Gamochaeta coarctata,Gamochaeta coarctata,Gamochaeta coarctata,Asteraceae,1
Gaultheria glomerata,Gaultheria glomerata,Gaultheria glomerata,Gaultheria glomerata,Ericaceae,1
Gaultheria vaccinioides,Gaultheria vaccinioides,Gaultheria vaccinioides,Gaultheria vaccinioides,Ericaceae,1
Gayophytum ramosissimum,Gayophytum ramosissimum,Gayophytum ramosissimum,Gayophytum ramosissimum,Onagraceae,1
Gentiana crassuloides,Gentiana crassuloides,Gentiana crassuloides,Gentiana crassuloides,Gentianaceae,1
Gentiana nivalis,Gentiana nivalis,Gentiana nivalis,Gentiana nivalis,Gentianaceae,1
Gentiana sedifolia,Gentiana sedifolia,Gentiana sedifolia,Gentiana sedifolia,Gentianaceae,1
Gentiana trichotoma,Gentiana trichotoma,Gentiana trichotoma,Gentiana trichotoma,Gentianaceae,1
Gentianella ernestii,Gentianella ernestii,Gentianella ernestii,Gentianella ernestii,Gentianaceae,1
Geranium multisectum,Geranium multisectum,Geranium multisectum,Geranium multisectum,Geraniaceae,1
Geranium pylzowianum,Geranium pylzowianum,Geranium pylzowianum,Geranium pylzowianum,Geraniaceae,1
Geranium richardsonii,Geranium richardsonii,Geranium richardsonii,Geranium richardsonii,Geraniaceae,1
Geranium sessiliflorum,Geranium sessiliflorum,Geranium sessiliflorum,Geranium sessiliflorum,Geraniaceae,1
Gerbera piloselloides,Gerbera piloselloides,Gerbera piloselloides,Gerbera piloselloides,Asteraceae,1
Geum aleppicum,Geum aleppicum,Geum aleppicum,Geum aleppicum,Rosaceae,1
Geum triflorum,Geum triflorum,Geum triflorum,Geum triflorum,Rosaceae,1
Gnaphalium dombeyanum,Gnaphalium dombeyanum,Pseudognaphalium dysodes,Pseudognaphalium dysodes,Asteraceae,1
Gnidia,Gnidia,Gnidia,,Thymelaeaceae,1
Gnidia caffra,Gnidia caffra,Gnidia caffra,Gnidia caffra,Thymelaeaceae,1
Gomphichis valida,Gomphichis valida,Gomphichis valida,Gomphichis valida,Orchidaceae,1
Halenia elliptica,Halenia elliptica,Halenia elliptica,Halenia elliptica,Gentianaceae,1
Halenia umbellata,Halenia umbellata,Halenia umbellata,Halenia umbellata,Gentianaceae,1
Haplocarpha scaposa,Haplocarpha scaposa,Haplocarpha scaposa,Haplocarpha scaposa,Asteraceae,1
Harpochloa falx,Harpochloa falx,Harpochloa falx,Harpochloa falx,Poaceae,1
Hedysarum algidum,Hedysarum algidum,Hedysarum algidum,Hedysarum algidum,Fabaceae,1
Helianthella quinquenervis,Helianthella quinquenervis,Helianthella quinquenervis,Helianthella quinquenervis,Asteraceae,1
Helichrysum adenocarpum,Helichrysum adenocarpum,Helichrysum adenocarpum,Helichrysum adenocarpum,Asteraceae,1
Helichrysum albo brunneum,Helichrysum album,Helichrysum album,Helichrysum album,Asteraceae,0.50081937852511
Helichrysum aureum,Helichrysum aureum,Helichrysum aureum,Helichrysum aureum,Asteraceae,1
Helichrysum auronitens,Helichrysum auronitens,Helichrysum auronitens,Helichrysum auronitens,Asteraceae,1
Helichrysum chionosphaerum,Helichrysum chionosphaerum,Helichrysum chionosphaerum,Helichrysum chionosphaerum,Asteraceae,1
Helichrysum cymosum,Helichrysum cymosum,Helichrysum cymosum,Helichrysum cymosum,Asteraceae,1
Helichrysum dasycephalum,Helichrysum dasycephalum,Helichrysum dasycephalum,Helichrysum dasycephalum,Asteraceae,1
Helichrysum ecklonis,Helichrysum ecklonis,Helichrysum ecklonis,Helichrysum ecklonis,Asteraceae,1
Helichrysum evansii,Helichrysum evansii,Helichrysum evansii,Helichrysum evansii,Asteraceae,1
Helichrysum glomeratum,Helichrysum glomeratum,Helichrysum glomeratum,Helichrysum glomeratum,Asteraceae,1
Helichrysum herbaceum,Helichrysum herbaceum,Helichrysum herbaceum,Helichrysum herbaceum,Asteraceae,1
Helichrysum krookii,Helichrysum krookii,Helichrysum krookii,Helichrysum krookii,Asteraceae,1
Helichrysum nudifolium,Helichrysum nudifolium,Helichrysum nudifolium,Helichrysum nudifolium,Asteraceae,1
Helichrysum odoratissimum,Helichrysum odoratissimum,Helichrysum odoratissimum,Helichrysum odoratissimum,Asteraceae,1
Helichrysum oreophilum,Helichrysum oreophilum,Helichrysum oreophilum,Helichrysum oreophilum,Asteraceae,1
Helichrysum pallidum,Helichrysum pallidum,Helichrysum pallidum,Helichrysum pallidum,Asteraceae,1
Helichrysum pilosellum,Helichrysum pilosellum,Helichrysum nudifolium var. pilosellum,Helichrysum nudifolium,Asteraceae,1
Helichrysum spiralepis,Helichrysum spiralepis,Helichrysum spiralepis,Helichrysum spiralepis,Asteraceae,1
Heliomeris multiflora,Heliomeris multiflora,Heliomeris multiflora,Heliomeris multiflora,Asteraceae,1
Heliophila elongata,Heliophila elongata,Heliophila elongata,Heliophila elongata,Brassicaceae,1
Heliophila rigidiuscula,Heliophila rigidiuscula,Heliophila rigidiuscula,Heliophila rigidiuscula,Brassicaceae,1
Hemiphragma heterophyllum,Hemiphragma heterophyllum,Hemiphragma heterophyllum,Hemiphragma heterophyllum,Plantaginaceae,1
Heracleum maximum,Heracleum maximum,Heracleum maximum,Heracleum maximum,Apiaceae,1
Heracleum sphondylium,Heracleum sphondylium,Heracleum sphondylium,Heracleum sphondylium,Apiaceae,1
Hermannia woodii,Hermannia woodii,Hermannia woodii,Hermannia woodii,Malvaceae,1
Hesperantha baurii,Hesperantha baurii,Hesperantha baurii,Hesperantha baurii,Iridaceae,1
Heteropogon contortus,Heteropogon contortus,Heteropogon contortus,Heteropogon contortus,Poaceae,1
Heteroteca villosa,Heterotheca villosa,Heterotheca villosa,Heterotheca villosa,Asteraceae,0.98599670627294
Heterotheca villosa,Heterotheca villosa,Heterotheca villosa,Heterotheca villosa,Asteraceae,1
Hieracium,Hieracium,Hieracium,,Asteraceae,1
Hieracium mandonii,Hieracium mandonii,Hieracium mandonii,Hieracium mandonii,Asteraceae,1
Hilliardiella elaeagnoides,Hilliardiella elaeagnoides,Hilliardiella elaeagnoides,Hilliardiella elaeagnoides,Asteraceae,1
Hirpicium armeriodes,Hirpicium armeriodes,Hirpicium armerioides,Hirpicium armerioides,Asteraceae,1
Holcus lanatus,Holcus lanatus,Holcus lanatus,Holcus lanatus,Poaceae,1
Huperzia arctica,Huperzia arctica,Huperzia appressa,Huperzia appressa,Lycopodiaceae,1
Huperzia weberbaueri,Huperzia weberbaueri,Huperzia weberbaueri,Huperzia weberbaueri,Lycopodiaceae,1
Hydrophyllum capitatum,Hydrophyllum capitatum,Hydrophyllum capitatum,Hydrophyllum capitatum,Boraginaceae,1
Hydrophyllum fendleri,Hydrophyllum fendleri,Hydrophyllum fendleri,Hydrophyllum fendleri,Boraginaceae,1
Hymenoxys hoopesii,Hymenoxys hoopesii,Hymenoxys hoopesii,Hymenoxys hoopesii,Asteraceae,1
Hypericum andinum,Hypericum andinum,Hypericum andinum,Hypericum andinum,Hypericaceae,1
Hypericum maculatum,Hypericum maculatum,Hypericum maculatum,Hypericum maculatum,Hypericaceae,1
Hypericum wightianum,Hypericum wightianum,Hypericum wightianum,Hypericum wightianum,Hypericaceae,1
Hypochaeris taraxacoides,Hypochaeris taraxacoides,Hypochaeris taraxacoides,Hypochaeris taraxacoides,Asteraceae,1
Hypoxis costata,Hypoxis costata,Hypoxis costata,Hypoxis costata,Hypoxidaceae,1
Hypoxis filiformis,Hypoxis filiformis,Hypoxis filiformis,Hypoxis filiformis,Hypoxidaceae,1
