submitted,name_matched,accepted_name,accepted_species,accepted_family,overall_score
Muraltia saxicola,Muraltia saxicola,Muraltia saxicola,Muraltia saxicola,Polygalaceae,1
Musgo,Mungos,Ophiorrhiza,,Rubiaceae,0.59957384396743
Myrsine coriacea,Myrsine coriacea,Myrsine coriacea,Myrsine coriacea,Primulaceae,1
Nertera granadensis,Nertera granadensis,Nertera granadensis,Nertera granadensis,Rubiaceae,1
Noccaea fendleri,Noccaea fendleri,Noccaea fendleri,Noccaea fendleri,Brassicaceae,1
Odontoglossum,Odontoglossum,Oncidium,,Orchidaceae,1
Omalotheca supina,Omalotheca supina,Omalotheca supina,Omalotheca supina,Asteraceae,1
Orchidaceae,Orchidaceae,Orchidaceae,,,1
Oreithales integrifolia,Oreithales integrifolia,Knowltonia integrifolia,Knowltonia integrifolia,Ranunculaceae,1
Oreobolus goeppingeri,Oreobolus goeppingeri,Oreobolus goeppingeri,Oreobolus goeppingeri,Cyperaceae,1
Oreobolus venezuelensis,Oreobolus venezuelensis,Oreobolus venezuelensis,Oreobolus venezuelensis,Cyperaceae,1
Oreomyrrhis andicola,Oreomyrrhis andicola,Chaerophyllum andicola,Chaerophyllum andicola,Apiaceae,1
Oritrophium hieracioides,Oritrophium hieracioides,Oritrophium hieracioides,Oritrophium hieracioides,Asteraceae,1
Osmoriza occidentalis,Osmorhiza occidentalis,Osmorhiza mexicana,Osmorhiza mexicana,Apiaceae,0.98737368185461
Oxalis depressa,Oxalis depressa,Oxalis depressa,Oxalis depressa,Oxalidaceae,1
Oxalis obliquifolia,Oxalis obliquifolia,Oxalis obliquifolia,Oxalis obliquifolia,Oxalidaceae,1
Oxalis oreocharis,Oxalis oreocharis,Oxalis minima,Oxalis minima,Oxalidaceae,1
Oxyria digyna,Oxyria digyna,Oxyria digyna,Oxyria digyna,Polygonaceae,1
Oxytropis yunnanensis,Oxytropis yunnanensis,Oxytropis yunnanensis,Oxytropis yunnanensis,Fabaceae,1
Parasenecio latipes,Parasenecio latipes,Parasenecio latipes,Parasenecio latipes,Asteraceae,1
Parnassia,Parnassia,Parnassia,,Celastraceae,1
Parnassia palustris,Parnassia palustris,Parnassia palustris,Parnassia palustris,Celastraceae,1
Paspalum bonplandianum,Paspalum bonplandianum,Paspalum bonplandianum,Paspalum bonplandianum,Poaceae,1
Pedicularis davidii,Pedicularis davidii,Pedicularis davidii,Pedicularis davidii,Orobanchaceae,1
Pedicularis hirsuta,Pedicularis hirsuta,Pedicularis hirsuta,Pedicularis hirsuta,Orobanchaceae,1
Pedicularis rhynchodonta,Pedicularis rhynchodonta,Pedicularis rhynchodonta,Pedicularis rhynchodonta,Orobanchaceae,1
Pedicularis sima,Pedicularis sima,Pedicularis sima,Pedicularis sima,Orobanchaceae,1
Pelargonium zonale,Pelargonium zonale,Pelargonium zonale,Pelargonium zonale,Geraniaceae,1
Penstemon caespitosus,Penstemon caespitosus,Penstemon caespitosus,Penstemon caespitosus,Plantaginaceae,1
Penstemon crandallii,Penstemon crandallii,Penstemon crandallii,Penstemon crandallii,Plantaginaceae,1
Penstemon harbourii,Penstemon harbourii,Penstemon harbourii,Penstemon harbourii,Plantaginaceae,1
Penstemon rydbergii,Penstemon rydbergii,Penstemon rydbergii,Penstemon rydbergii,Plantaginaceae,1
