Country;Gradient;Site;Elevation;Latitude;Longitude
CH;1;H;4100;29.90742;102.0118
CH;1;A;3850;29.88911;102.0173
CH;1;M;3500;29.86192;102.0360
CH;1;L;3000;29.84347;102.0343
